Type,MatchValue,DebitAcc,CreditAcc,Direction,MemoTemplate,UseVendor
Name,Utilities Services - LADWP,Due to/from Moo Housing Inc:Rent receivable,Utilities:LADWP,DR,LADWP {current_month},No
Name,Utilities Services - Gas,Due to/from Moo Housing Inc:Rent receivable,Utilities:Socal Gas,DR,Socal Gas {current_month},No
Name,Utilities Services - Trash,Due to/from Moo Housing Inc:Rent receivable,Utilities:Trash,DR,Trash {current_month},No
Name,Utilities Services - Internet,Due to/from Moo Housing Inc:Rent receivable,Utilities:Spectrum,DR,Internet {current_month},No
Name,Utilities Services - Cleaning,Due to/from Moo Housing Inc:Rent receivable,Cleaning,DR,Cleaning {current_month},No
Name,Repair,Due to/from Moo Housing Inc:Rent receivable,Repairs and Maintenance,DR,Maintenance {current_month},No
Name,Move Out Cleaning Fee,Due to/from Moo Housing Inc:Rent receivable,Cleaning,DR,Cleaning {current_month},No
Name,Move Out Maintenance Fee,Due to/from Moo Housing Inc:Rent receivable,Repairs and Maintenance,DR,Maintenance {current_month},No
Name,Rent Income,Due to/from Moo Housing Inc:Rent receivable,Operating Rent Income,DR,Rent {current_month},No
Name,Parking Income,Due to/from Moo Housing Inc:Rent receivable,Operating Rent Income,DR,Parking Rent {current_month},No
Name,Concessions,Due to/from Moo Housing Inc:Rent receivable,Operating Rent Income,DR,Concessions {current_month},No
Name,Advertising,Due to/from Moo Housing Inc:MH Prepaid and distribution,Advertising and Promotion,CR,Advertising {current_month},No
Name,Accounting,Due to/from Moo Housing Inc:MH Prepaid and distribution,Professional Fees:Accounting,CR,Accounting {current_month},No
Name,Property Insurance,Due to/from Moo Housing Inc:MH Prepaid and distribution,Insurance Expense,CR,Property Insurance,No
Name,Management Fees,Due to/from Moo Housing Inc:MH Prepaid and distribution,Professional Fees:property management fee,CR,Management Fee {current_month},No
Name,Commissions/Placement Fees,Due to/from Moo Housing Inc:MH Prepaid and distribution,Commissions Paid,CR,Commission Fee {current_month},No
Name,LADWP,Due to/from Moo Housing Inc:Utilities:LADWP,Utilities:LADWP,CR,LADWP {current_month},No
Name,Gas,Due to/from Moo Housing Inc:Utilities:Socal Gas,Utilities:Socal Gas,CR,Gas {current_month},No
Name,Internet,Due to/from Moo Housing Inc:Utilities:Spectrum,Utilities:Spectrum,CR,Spectrum {current_month},No
Name,Republic Service,Due to/from Moo Housing Inc:Utilities:Republic Service,Utilities:Trash,CR,Republic Service {current_month},No

Keyword,6147,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6074,Due to/from Moo Housing Inc:MH Prepaid and distribution,Cleaning,CR,,Yes
Keyword,7050,Due to/from Moo Housing Inc:MH Prepaid and distribution,Furniture and Equipment,CR,,Yes
Keyword,6076,Due to/from Moo Housing Inc:MH Prepaid and distribution,Cleaning,CR,,Yes
Keyword,7010,Due to/from Moo Housing Inc:MH Prepaid and distribution,Furniture and Equipment,CR,,Yes
Keyword,6101,Due to/from Moo Housing Inc:MH Prepaid and distribution,Professional Fees,CR,,Yes
Keyword,6073,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6177,Due to/from Moo Housing Inc:Utilities:Republic Service,Utilities:Trash,CR,,Yes
Keyword,6150,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6145,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6142,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6101,Due to/from Moo Housing Inc:MH Prepaid and distribution,Professional Fees,CR,,Yes
Keyword,6191,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6077,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes
Keyword,6144,Due to/from Moo Housing Inc:MH Prepaid and distribution,Repairs and Maintenance,CR,,Yes





